barcode,product_name,brand,verified_ingredients,flagged_additive_code,flagged_additive_name,functional_class,banned_in_jurisdiction,why_banned_abroad,india_fssai_status,legal_summary,risk_tier
8902268004580,Romanzo Choco filled Cookies,Anmol,"choco filling (38%)-[ sugar, edible vegetable oil (palm), cocoa solids, emulsifier (ins 322), salt, contain nature identical flavour-vanillin), refined wheat flour. hydrogenated vegetable oils, sugar, invert syrup, milk solids, cocoa solids (14%), <span class=""allergen"">butter</span>, edible common salt. raising agent-ins 500) contains permitted natural colour (ins 150d) and added flavour (nature identical flavouring substance - chocolate and artificial flavouring substance - vanilla)",INS 150d / E150d,Caramel IV (Sulphite Ammonia Caramel),Chemically Processed Colorant,AUTHORISED with ADI 300 mg/kg bw/day | GRAS; CA Prop 65 Warning Thresholds | PERMITTED under positive list,"Ammonia processing generates trace 4-MEI (4-methylimidazole), a listed carcinogen under CA Prop 65 based on high-dose animal lung/hepatic tumor bioassays.",PERMITTED under FSSAI MPLs,Authorised colorant globally. Listed under California Prop 65 requiring warning labels if 4-MEI threshold is exceeded.,🟡 Moderate Concern
8901014004836,cup noodles,Nissin,"wheat flour, edible vegetable oil (palm), lodised salt, dehydrated vegetables - 4.14% (carrot, red chilli, green chilli, garlic chips, spring onion), garlic, sugar, hydrolysed vegetable protein (soya), corn starch, spice mix - 1.01% (chilli, ginger), onion, flavour enhancers (yeast extract, ins 627, ins 631), acidity regulators [ins 500(i), ins 451(1), ins 330], thickener (ins 415), soya sauce powder, colours [ins 150d, ins 160c(i)] antioxidant (ins 319) contains permitted natural colours & added artificial flavour (wok). allergen information: contains wheat & soya. may contain traces of milk.",INS 319 / E319,TBHQ (Tertiary Butylhydroquinone),Synthetic Petroleum Antioxidant,AUTHORISED with ADI and MPLs | PERMITTED ≤ 0.02% of fat content | NOT APPROVED on food positive list,"High-dose animal studies show hepatic enlargement, neurotoxic alterations, and cellular DNA stress. While human dietary intake at regulated levels is below ADI, FoodFactsIndia flags frequent intake in daily fried snacks/oils as High Concern.",PERMITTED under FSSAI MPLs,"Not approved for food use under Japan's positive list system. Authorised with strict ADI/MPLs in EU, US, and India.",🔴 High Concern
8901014004836,cup noodles,Nissin,"wheat flour, edible vegetable oil (palm), lodised salt, dehydrated vegetables - 4.14% (carrot, red chilli, green chilli, garlic chips, spring onion), garlic, sugar, hydrolysed vegetable protein (soya), corn starch, spice mix - 1.01% (chilli, ginger), onion, flavour enhancers (yeast extract, ins 627, ins 631), acidity regulators [ins 500(i), ins 451(1), ins 330], thickener (ins 415), soya sauce powder, colours [ins 150d, ins 160c(i)] antioxidant (ins 319) contains permitted natural colours & added artificial flavour (wok). allergen information: contains wheat & soya. may contain traces of milk.",INS 150d / E150d,Caramel IV (Sulphite Ammonia Caramel),Chemically Processed Colorant,AUTHORISED with ADI 300 mg/kg bw/day | GRAS; CA Prop 65 Warning Thresholds | PERMITTED under positive list,"Ammonia processing generates trace 4-MEI (4-methylimidazole), a listed carcinogen under CA Prop 65 based on high-dose animal lung/hepatic tumor bioassays.",PERMITTED under FSSAI MPLs,Authorised colorant globally. Listed under California Prop 65 requiring warning labels if 4-MEI threshold is exceeded.,🟡 Moderate Concern
8901393017076,Chupa chups belt,Perfetti,"glucose syrup, sugar, wheat flour, invert sugar, acids (malic ac (e296) (1,7%), citric acid (, 'su) (0,9%)), hydrogenated coconut oil, nature identical fruit flavour, hydrogenat sunflower oil, colours (riboflavin (e101) (0,003%), carmine (e120) (0,002%), brilliant blue fcf (e133) (0,0029 beta-carotene (e160a) (0,0002%)), can cause hypersensitivity, store in a cool and dry place, keep awa from direct sunlight,   راب الجلوكوز، سكر، دقيق القمح، سكر محول، محمضات: حمض التفاح )اي۲۹٦()1،٧٪(، حمض الليمون )اي۳۳۰()۰،۹٪(، زیت طابقة ل لطبيعية، زيت دوار الشمس المهدرج، الوان: ريوفلافين )ای۱۰۱)(۳، ,,۰٪(، کرمين )اي۱۲۰()۰۰۲،٪(، ازرق لامع اف سي جزری )ای۱۶۰ ابه )۰۲ ۰ ۰،۰٪(, قد تسبب فرط في الحساسية, المواد المضافة لأغراض غدائية ضمن الحدود المسموح بها )ط ح ص(",INS 133 / E133,Brilliant Blue FCF (Blue 1),Synthetic Triphenylmethane Dye,AUTHORISED (ADI 0-6 mg/kg bw/day) | PERMITTED (FD&C Blue No. 1) | PERMITTED under positive list,Triphenylmethane dyes such as Brilliant Blue FCF can cross the blood-brain barrier in animal models and have been studied for both hypersensitivity reactions and neuroprotective properties; FD&C Blue No. 1 demonstrates a strong safety profile among approved synthetic dyes at regulated dietary doses under ADI (0-6 mg/kg bw/day).,PERMITTED under FSSAI MPLs,"Authorised food color in EU, US, India, Japan with ADI (0-6 mg/kg bw/day). Historical member-state bans harmonised under EU law.",🔴 High Concern
8904109445309,Patanjali Pineapple Jam,Patanjali,"sugar, pineapple fruit pulp (45%), pectin (ins 440), acidity regulator (ins 330), preservative (ins 211)",INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",PERMITTED under FSSAI MPLs,Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
8901414015241,Fried spiced crisp green peas,bikano,"green peas, edible vegetable oil (palmolein oil and ricebran oil in varying proportions), mixed spices (black salt, dry mango powder, cumin seeds powder, coriander powder, red chilly powder, yellow chilly powder, dry ginger powder, asafoetida, white pepper powder, green chilly powder, black pepper powder), jodized salt, turmeric powder, acidity regulators (e 330, e 296), flavouring. contains permitted natural [e 100 and e 141 and synthetic food colour (e133/fd&c blue no.1)",INS 133 / E133,Brilliant Blue FCF (Blue 1),Synthetic Triphenylmethane Dye,AUTHORISED (ADI 0-6 mg/kg bw/day) | PERMITTED (FD&C Blue No. 1) | PERMITTED under positive list,Triphenylmethane dyes such as Brilliant Blue FCF can cross the blood-brain barrier in animal models and have been studied for both hypersensitivity reactions and neuroprotective properties; FD&C Blue No. 1 demonstrates a strong safety profile among approved synthetic dyes at regulated dietary doses under ADI (0-6 mg/kg bw/day).,PERMITTED under FSSAI MPLs,"Authorised food color in EU, US, India, Japan with ADI (0-6 mg/kg bw/day). Historical member-state bans harmonised under EU law.",🔴 High Concern
8906002004133,Fun Foods Chocolate Spread Fudge,Dr.Oetker,"milk solids, sugar, cocoa solids (7%), water, palm oil, liquid glucose, emulsifiers & stabilizers (ins 407, ins 1442, ins 322), iodised salt, preservative (ins 202)",INS 202 / E202,Potassium Sorbate,Chemical Preservative,AUTHORISED with MPLs (ADI 11 mg/kg bw/day) | GRAS (Generally Recognized as Safe) | PERMITTED in specified categories,Exhibits minor mutagenic/clastogenic activity in vitro when reacted with nitrites; localized mucous membrane irritant at elevated doses.,PERMITTED under FSSAI MPLs,"Fully authorised preservative in EU, US, India, Japan subject to ADI and MPLs.",🟡 Moderate Concern
8901725101381,Dark Fantasy Choco Fills,Sunfeast,"choco crème (38%) (sugar, refined palmolein, refined palm oil, cocoa solids (5.3%), emulsifier [lecithin (from soyabean)], nature identical flavouring substances - chocolate and artificial flavouring substances - vanilla}, refined wheat flour (maida), hydrogenated vegetable oils, sugar, invert syrup, liquid glucose, raising agents [ins 503(ii), ins 500(ii), ins 450(i)], cocoa solids (0.7%), butter, milk solids, iodized salt and emulsifiers [lecithin (from soyabean), mono - and di-glycerides of fatty acids (from palm oil)]. contains permitted natural colour(s) (ins 150d, ins 150c) and added flavour(s) (nature identical flavouring substances - chocolate and artificial flavouring substances - vanilla, milk) contains wheat, milk solids and soya. may contain traces of nuts.",INS 150d / E150d,Caramel IV (Sulphite Ammonia Caramel),Chemically Processed Colorant,AUTHORISED with ADI 300 mg/kg bw/day | GRAS; CA Prop 65 Warning Thresholds | PERMITTED under positive list,"Ammonia processing generates trace 4-MEI (4-methylimidazole), a listed carcinogen under CA Prop 65 based on high-dose animal lung/hepatic tumor bioassays.",PERMITTED under FSSAI MPLs,Authorised colorant globally. Listed under California Prop 65 requiring warning labels if 4-MEI threshold is exceeded.,🟡 Moderate Concern
8904004405415,Haldiram's Soan Papdi (indian Sweets),Haldiram's,"refined sugar, refined wheat flour (maida), refined palmolein oil, bengal gram flour (besan), hydrogenated vegetable oil (vanaspati), liquid glucose, cardamom, almond & pistachio nuts. allergen: contains almonds, pistachios & wheat may contains coconut, cashew, milk, soy, peanut & sesame seed.",PHO / Trans Fats,Hydrogenated / Partially Hydrogenated Vegetable Oils,Industrial Synthetic Trans Fat,CAPPED < 2g per 100g fat | PHO GRAS REVOCATION (Effectively Banned) | VOLUNTARY REDUCTION / LABELLING,"Industrial trans fats elevate systemic LDL cholesterol, lower protective HDL cholesterol, calcify arterial endothelium, and cause over 500,000 premature cardiovascular deaths annually worldwide.",TRANS FAT CAPPED < 2% of total fat (FSSAI),US FDA revoked GRAS status for PHOs (banned). WHO-led global elimination campaign; EU and FSSAI cap trans fats < 2% of total fat.,🟡 Moderate Concern
8901512144805,Peanut butter,Sundrop,"roasted peanuts (92.3%), sugar, hydrogenated vegetable fat, refined edible groundnut oil (tbhq), lodized salt contains nuts. 20",INS 319 / E319,TBHQ (Tertiary Butylhydroquinone),Synthetic Petroleum Antioxidant,AUTHORISED with ADI and MPLs | PERMITTED ≤ 0.02% of fat content | NOT APPROVED on food positive list,"High-dose animal studies show hepatic enlargement, neurotoxic alterations, and cellular DNA stress. While human dietary intake at regulated levels is below ADI, FoodFactsIndia flags frequent intake in daily fried snacks/oils as High Concern.",PERMITTED under FSSAI MPLs,"Not approved for food use under Japan's positive list system. Authorised with strict ADI/MPLs in EU, US, and India.",🔴 High Concern
8906021924344,Fruitilicious Fruit Blast Mixed Fruit Jam,Apis,"Sugar, mixed fruit pulp blend, acidity regulator (INS 330), preservative (INS 211), permitted synthetic food colour (INS 122)",INS 122 / E122,Azorubine / Carmoisine,Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Azo dye associated with pediatric hyperactivity, severe histamine release, allergic asthma, and localized inflammation in animal studies.",PERMITTED under FSSAI MPLs,Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
8906021924344,Fruitilicious Fruit Blast Mixed Fruit Jam,Apis,"Sugar, mixed fruit pulp blend, acidity regulator (INS 330), preservative (INS 211), permitted synthetic food colour (INS 122)",INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",PERMITTED under FSSAI MPLs,Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
8906002000081,Veg Mayonnaise for Burger,Dr. Oetker,"refined soyabean oil, tomatoes 27% sugar, water, milk solids, lemon juice, iodised salt, emulsifiers , stabilizers (ins 1442, ins 415), mixed spices, acidity regulators (ins260, ins330), preservatives (ns211, ins202), antioxidantin (ins s319)",INS 202 / E202,Potassium Sorbate,Chemical Preservative,AUTHORISED with MPLs (ADI 11 mg/kg bw/day) | GRAS (Generally Recognized as Safe) | PERMITTED in specified categories,Exhibits minor mutagenic/clastogenic activity in vitro when reacted with nitrites; localized mucous membrane irritant at elevated doses.,PERMITTED under FSSAI MPLs,"Fully authorised preservative in EU, US, India, Japan subject to ADI and MPLs.",🟡 Moderate Concern
8901595961412,Hot and sour soup,Ching's Secret,"corn starch, dehydrated vegetables 18% (carrot, cabbage, garlic), salt, sugar, dehydrated mushrooms (8%), dried glucose syrup, disodium 5' guanylate, disodium 5'- inosinate (flavour enhancers, e627, e631), soy sauce powder (soybean, wheat, salt), onion powder, caramel (natural colour, e150d), chilli powder (1%), acetic acid (acidity regulator, e260), xanthan gum (thickener, e415), silicon dioxide (anticaking agent, e551), sunflower oil, pepper powder.",INS 150d / E150d,Caramel IV (Sulphite Ammonia Caramel),Chemically Processed Colorant,AUTHORISED with ADI 300 mg/kg bw/day | GRAS; CA Prop 65 Warning Thresholds | PERMITTED under positive list,"Ammonia processing generates trace 4-MEI (4-methylimidazole), a listed carcinogen under CA Prop 65 based on high-dose animal lung/hepatic tumor bioassays.",PERMITTED under FSSAI MPLs,Authorised colorant globally. Listed under California Prop 65 requiring warning labels if 4-MEI threshold is exceeded.,🟡 Moderate Concern
8904063253217,Kachori Crispy Stuffed Snack,Haldiram's,"refined wheat flour (27%), chickpeas flour (15%), vegetable oil (palmolein), hydrogenated vegetable oil (palm & sesame oil), sugar, salt, tamarind, red chilli powder, fennel, coriander, sesame seed, cumin, ginger, cinnamon and cardamom.",PHO / Trans Fats,Hydrogenated / Partially Hydrogenated Vegetable Oils,Industrial Synthetic Trans Fat,CAPPED < 2g per 100g fat | PHO GRAS REVOCATION (Effectively Banned) | VOLUNTARY REDUCTION / LABELLING,"Industrial trans fats elevate systemic LDL cholesterol, lower protective HDL cholesterol, calcify arterial endothelium, and cause over 500,000 premature cardiovascular deaths annually worldwide.",TRANS FAT CAPPED < 2% of total fat (FSSAI),US FDA revoked GRAS status for PHOs (banned). WHO-led global elimination campaign; EU and FSSAI cap trans fats < 2% of total fat.,🟡 Moderate Concern
8901393017137,Chupa Chups Sour Bites,Chupa chups,"glucose syrup, sugar, wheat flour, invert sugar, acids (malic acid (e296) (1.4%), citric acid (e330) (1%)), hydrogenated coconut oil, nature identical fruit flavour, hydrogenated sunflower oil, col urs (riboflavin (e101) (0.003%), brilliant blue fcf (e133) (0.003%), carmine (e120) (0.002%), beta-carotene (e160a) (0.0002%)). can cause hypersensitivity. store in a cool and dry place. keep away from direct sunlight.",INS 133 / E133,Brilliant Blue FCF (Blue 1),Synthetic Triphenylmethane Dye,AUTHORISED (ADI 0-6 mg/kg bw/day) | PERMITTED (FD&C Blue No. 1) | PERMITTED under positive list,Triphenylmethane dyes such as Brilliant Blue FCF can cross the blood-brain barrier in animal models and have been studied for both hypersensitivity reactions and neuroprotective properties; FD&C Blue No. 1 demonstrates a strong safety profile among approved synthetic dyes at regulated dietary doses under ADI (0-6 mg/kg bw/day).,PERMITTED under FSSAI MPLs,"Authorised food color in EU, US, India, Japan with ADI (0-6 mg/kg bw/day). Historical member-state bans harmonised under EU law.",🔴 High Concern
8901972058612,Waffy Chocolate,Dukes,"refined wheat flour (maida), sugar, refined palm oil, hydrogenated oils, maltodextrin, cocoa solids (1.5 %), emulsifier [ins 322(1)], artificial flavouring substances (chocolate, vanilla), iodized salt, raising agent [ins 500 (ii)], colour (ins 150d), flour treatment agents (ins 223, ins 1100, ins 1101).",INS 150d / E150d,Caramel IV (Sulphite Ammonia Caramel),Chemically Processed Colorant,AUTHORISED with ADI 300 mg/kg bw/day | GRAS; CA Prop 65 Warning Thresholds | PERMITTED under positive list,"Ammonia processing generates trace 4-MEI (4-methylimidazole), a listed carcinogen under CA Prop 65 based on high-dose animal lung/hepatic tumor bioassays.",PERMITTED under FSSAI MPLs,Authorised colorant globally. Listed under California Prop 65 requiring warning labels if 4-MEI threshold is exceeded.,🟡 Moderate Concern
8901499008701,Kellogg's Special K Original,Kellogg's,"rice (36.2%), whole wheat (33.2%), sugar, wheat bran (4.7%), liquid glucose, lodized salt, cereal extract, vitamins, mineral and antioxidant (ins 320).",INS 320 / E320,BHA (Butylated Hydroxyanisole),Synthetic Phenolic Antioxidant,AUTHORISED (ADI ≈1 mg/kg bw/day) | GRAS; CA Prop 65 Cancer Warning List | PERMITTED in specified categories,"Listed under CA Prop 65 based on high-dose rodent tumor data. Recognized in endocrine research as a potential estrogenic and thyroid disruptor. Regulators allow low doses under ADI, but daily exposure in children's snacks is flagged as High Concern.",PERMITTED under FSSAI MPLs,Authorised globally with ADI. Listed under California Prop 65 with mandatory cancer warning requirement.,🔴 High Concern
8901741000019,Chicken flavoured noodles,,"द ings der inside て 019 for suggestions & feedback. cg foods, g.p.o. box: 1073, kathmandu, nepal. email: qm@chaudha group.com 錢 s incredients nm na in 909 noodles ( seasonings): wheat flour, edible vegetable oil (palm), lodised salt, wheat gluten, flavour enhancers (e621, e627, e631), soy sauce [caramel (150d)], acidity regulator (e500ii, e451i, e170i), thickener (e412), black pepper, onion and artificial chicken flavour. seasoning (in a separate sachet): lodised salt, garlic, maltodextrin (e1400), onion, white pepper, flavour enhancers (e621, e627, e631), chives, sugar, black pepper, vitamin & mineral premix. onion flavoured oil: edible vegetable oil (palm olein) & onion with added vitamin a. phone no.: +977-1-325041 chilli powder in separate sachet. रिकामपनि पारसीहर d contains permitted natural colgur (caramel 150d) and added flavours [nature-identical flavouring substances and artiod flavouring substances (chicken)]. may contain traces of milk products & mustard products this packann waj needles contains added mon for wants below 12 months) tamate (not recommended",INS 621 / E621,Monosodium Glutamate (MSG),Flavour Enhancer (Glutamate Group),AUTHORISED (Group ADI 30 mg/kg bw/day) | GRAS (Generally Recognized as Safe) | PERMITTED under positive list,"Dietary MSG does not readily cross the intact blood-brain barrier and is not considered a neurotoxin at typical intake levels by EFSA, FDA, or JECFA. Transient headaches/flushing can occur in sensitive individuals at high empty-stomach doses. Flagged as Moderate Concern for frequent children's snack consumption.",PERMITTED in snacks; PROHIBITED in dried pasta & instant noodles,Approved flavour enhancer globally with Group ADI 30 mg/kg bw/day. FSSAI (India) prohibits added MSG in dried pasta/instant noodles but permits it in snacks.,🟡 Moderate Concern
8901058822557,Authenticate indian tomato chili sauce,Maggi,"water, sugar, tomato paste, chili puree, iodized salt, acetic acid, modified food starch, xanthan gum, chili powder, garlic powder, ginger powder, sodium alginate, sodium benzoate (preservative).",INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",PERMITTED under FSSAI MPLs,Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
8901207006883,Sesame oil,,"sesame (sesamum indicum) oil, tbhq (anti-oxidant), no colours added.",INS 319 / E319,TBHQ (Tertiary Butylhydroquinone),Synthetic Petroleum Antioxidant,AUTHORISED with ADI and MPLs | PERMITTED ≤ 0.02% of fat content | NOT APPROVED on food positive list,"High-dose animal studies show hepatic enlargement, neurotoxic alterations, and cellular DNA stress. While human dietary intake at regulated levels is below ADI, FoodFactsIndia flags frequent intake in daily fried snacks/oils as High Concern.",PERMITTED under FSSAI MPLs,"Not approved for food use under Japan's positive list system. Authorised with strict ADI/MPLs in EU, US, and India.",🔴 High Concern
8901725100025,B Natural Mixed fruit 1ltr tpk,ITC Limied,"water, sugar, banana puree (6.8%), guava pulp (6.6%), pineapple pulp (3.2%), mango pulp (2.3%), pomegranate juice (0.8%), polydextrose (dietary fiber) (0.54%), litchi pulp (0.3%), acidity regulator (ins 330), stabilizers (ins 440, ins 466), nature identical flavouring substances, natural flavours and natural flavouring substances, vitamins and colours (ins 171, ins 110, ins 102). may contain milk, nut and soy. source of dietary fibre*, rich in vitamin c, source of vitamin e",INS 171 / E171,Titanium Dioxide,Synthetic White Colorant / Opacifier,BANNED IN FOOD (EU 2022/63) | PERMITTED ≤ 1.0% by weight (21 CFR 73.575) | PERMITTED under positive list,"EFSA concluded in 2021 that titanium dioxide can no longer be considered safe as a food additive because potential genotoxicity concerns (micro/nano-particle intestinal accumulation and potential DNA strand breaks) could not be ruled out, adopting a precautionary ban.",PERMITTED under FSSAI MPLs,Banned as a food additive in EU (authorisation withdrawn 2022). Permitted with limits in US and India.,🔴 High Concern
8901725100025,B Natural Mixed fruit 1ltr tpk,ITC Limied,"water, sugar, banana puree (6.8%), guava pulp (6.6%), pineapple pulp (3.2%), mango pulp (2.3%), pomegranate juice (0.8%), polydextrose (dietary fiber) (0.54%), litchi pulp (0.3%), acidity regulator (ins 330), stabilizers (ins 440, ins 466), nature identical flavouring substances, natural flavours and natural flavouring substances, vitamins and colours (ins 171, ins 110, ins 102). may contain milk, nut and soy. source of dietary fibre*, rich in vitamin c, source of vitamin e",INS 102 / E102,Tartrazine (Yellow 5),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 5) | PERMITTED under positive list,The 2007 Southampton study demonstrated that mixtures of synthetic azo dyes with benzoate triggers pediatric hyperactivity and neuro-attentional deficits. Can cause urticaria and bronchospasm in aspirin-sensitive individuals.,PERMITTED under FSSAI MPLs,Authorised globally with ADI. EU requires mandatory label warning: 'May have an adverse effect on activity and attention in children'.,🔴 High Concern
8901725100025,B Natural Mixed fruit 1ltr tpk,ITC Limied,"water, sugar, banana puree (6.8%), guava pulp (6.6%), pineapple pulp (3.2%), mango pulp (2.3%), pomegranate juice (0.8%), polydextrose (dietary fiber) (0.54%), litchi pulp (0.3%), acidity regulator (ins 330), stabilizers (ins 440, ins 466), nature identical flavouring substances, natural flavours and natural flavouring substances, vitamins and colours (ins 171, ins 110, ins 102). may contain milk, nut and soy. source of dietary fibre*, rich in vitamin c, source of vitamin e",INS 110 / E110,Sunset Yellow FCF (Yellow 6),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 6) | PERMITTED under positive list,"Azo dye metabolism generates aromatic amines linked to pediatric neuro-hyperactivity, allergic rhinitis, hives, and gastric irritation in sensitive individuals.",PERMITTED under FSSAI MPLs,Authorised globally with ADI. Requires mandatory EU warning label for child activity and attention impairment.,🔴 High Concern
8901207001635,Chyawanprakash Sugar free,dabur,"amalaki (emblica officinalis, fr., fr.pulp) 86.0g and ext. derived from the following asana (pterocarpus marsupium, ht. wd.) 3.52g, bilva (aegle marmelos, st. bk.), shyonaka (oroxylum indicum, st. bk.), gambhari (gmelina arborea, st. bk.), patala (stereospermum suaveolens, st. bk.), agnimantha (clerodendrum phlomidis, st. bk.), shalaparni (desmodium gangeticum, pl.), prishniparni (uraria picta,pl.), brihati (solanum indicum,pl.), kantakari (solanum surattense, pl.), gokshura (tribulus terrestris, fr.), mudgaparni (phaseolus trilobus, pl.), mashaparni (teramnus labialis, pl.), karkatashringi (pistacia integerrima, gl.), tamalaki (phyllanthus niruri, pl.), pushkara (inula racemosa, rt.), haritaki (terminalia chebula, p.), guduchi (tinospora cordifolia, st.), karchura (curcuma zedoaria, rz.), musta (cyperus rotundus, rz.), punarnava (boerhavia verticillata, pl.), utpala (nymphaea stellata, fl.), vasa (adhatoda vasica, rt.), yashti (glycyrrhiza glabra, rt.), kakanasika (maritima annua, fr.), draksha (vitis vinifera, fr.) each 0.38g, bala (sida cordifolia, pl.) 0.684g, jivanti (leptadenia reticulata, rt.) 0.076g, ashwagandha (withania somnifera, rt.), shatavari (asparagus recemosus, rt.), varahi (dioscorea bulbifera, rt. tr.) each 0.76g, vidari (pueraria tuberosa, rt. tr.) 1.14g, goghrita 1.00g, tila tail (sesamum indicum, oil) 1.00g and powder of the following - vamsha (bambusa bambos, 5.c.) 1.34g, pippali (piper longum, fr.) 184g, ivak (cinnamomum zeylanicum, st. bk.) 0.194g, sukshmaila (elettaria cardamomum, fr.) 1.008g, ivakpatra (cinnamomum tamala, l.) 0.2059 nagakesara (mesua ferrea, stma.) 0.190g lavanga (syzygium aromaticum, flbd.) 0212 tah (glycyrrhiza glabra, rt.) excipients-gx 1.0, sorbitol and sucralose, sodium benzoate",INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",PERMITTED under FSSAI MPLs,Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
8901063139213,Treat Jim Jam,Britannia,"Refined wheat flour, sugar, edible vegetable oil (palm), invert syrup, raising agents (INS 503(ii), INS 500(ii)), salt, emulsifier (INS 322), artificial vanilla flavour, colours (INS 122, INS 110)",INS 110 / E110,Sunset Yellow FCF (Yellow 6),Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | PERMITTED (FD&C Yellow No. 6) | PERMITTED under positive list,"Azo dye metabolism generates aromatic amines linked to pediatric neuro-hyperactivity, allergic rhinitis, hives, and gastric irritation in sensitive individuals.",PERMITTED under FSSAI MPLs,Authorised globally with ADI. Requires mandatory EU warning label for child activity and attention impairment.,🔴 High Concern
8901063139213,Treat Jim Jam,Britannia,"Refined wheat flour, sugar, edible vegetable oil (palm), invert syrup, raising agents (INS 503(ii), INS 500(ii)), salt, emulsifier (INS 322), artificial vanilla flavour, colours (INS 122, INS 110)",INS 122 / E122,Azorubine / Carmoisine,Synthetic Petroleum Azo Dye,AUTHORISED; Mandatory Child Activity Warning | NOT APPROVED for food use | NOT APPROVED for food use,"Azo dye associated with pediatric hyperactivity, severe histamine release, allergic asthma, and localized inflammation in animal studies.",PERMITTED under FSSAI MPLs,Not approved for food use by US FDA or Japan. Authorised in EU and India with MPLs and mandatory EU child activity warning.,🔴 High Concern
8901595862962,Schezwan Chutney,Ching's Secret,"water, sunflower oil, sugar, ginger, salt, chilli, garlic, onion, corn starch, flavour enhancer (e635), thickener (e1422), acidity regulator (e260), spices (whte pepper, schezwan pepper), preservatives (e202, e211). <span class=""allergen"">celery</span>, soy sauce powder (<span class=""allergen"">soybean</span>, <span class=""allergen"">wheat</span>, salt).",INS 211 / E211,Sodium Benzoate,Chemical Anti-Fungal Preservative,AUTHORISED with MPLs | PERMITTED ≤ 0.1% | PERMITTED in specified categories,"In acidic beverages combined with Vitamin C (Ascorbic Acid INS 300), heat, and light, Sodium Benzoate can decarboxylate into Benzene — a known Group 1 human carcinogen. Also implicated in pediatric hyperactivity when combined with azo dyes.",PERMITTED under FSSAI MPLs,Fully authorised preservative globally subject to Maximum Permitted Levels (MPLs). Elevated chemical risk of Benzene formation when mixed with Vitamin C.,🟡 Moderate Concern
8901595862962,Schezwan Chutney,Ching's Secret,"water, sunflower oil, sugar, ginger, salt, chilli, garlic, onion, corn starch, flavour enhancer (e635), thickener (e1422), acidity regulator (e260), spices (whte pepper, schezwan pepper), preservatives (e202, e211). <span class=""allergen"">celery</span>, soy sauce powder (<span class=""allergen"">soybean</span>, <span class=""allergen"">wheat</span>, salt).",INS 202 / E202,Potassium Sorbate,Chemical Preservative,AUTHORISED with MPLs (ADI 11 mg/kg bw/day) | GRAS (Generally Recognized as Safe) | PERMITTED in specified categories,Exhibits minor mutagenic/clastogenic activity in vitro when reacted with nitrites; localized mucous membrane irritant at elevated doses.,PERMITTED under FSSAI MPLs,"Fully authorised preservative in EU, US, India, Japan subject to ADI and MPLs.",🟡 Moderate Concern
